ngram,C_svc,C_lgs,alpha_nb,weight_svc,weight_lgs,weight_nb,accuracy_total,accuracy_01,label_0_precision,label_0_recall,label_0_count,label_1_precision,label_1_recall,label_1_count,label_2_precision,label_2_recall,label_2_count
1,0.81,0.6100000000000001,1.3,0.1,0.1,0.1,0.8580629559799327,0.6842638472336234,0.8965835907657873,0.5919762091796656,133.8,0.8579434605820732,0.71598839891899,389.4,0.8550771399302158,0.9515014213328662,973.2
1,0.81,0.6100000000000001,1.3,0.1,0.1,1.0,0.8186343505440405,0.5504715244633216,0.9509099256050476,0.2675457299966333,133.8,0.8528306612217669,0.6476870344736668,389.4,0.8057339407877867,0.9628047635227108,973.2
1,0.81,0.6100000000000001,1.3,0.1,0.1,3.0,0.8092771305706187,0.5206537920789482,0.9517124542124542,0.2062843676355067,133.8,0.8525646308398207,0.6286757629688221,389.4,0.795458737866874,0.9644483181422008,973.2
1,0.81,0.6100000000000001,1.3,0.1,0.1,5.0,0.8068713371620442,0.5133887279159987,0.953167434715822,0.18533273482212995,133.8,0.8521001227603143,0.626107705490739,389.4,0.7929274886268672,0.9646538679880384,973.2
1,0.81,0.6100000000000001,1.3,0.1,1.0,0.1,0.8459006602585848,0.6548351089003832,0.8684712544539976,0.6009763214005163,133.8,0.847470774203946,0.6733517895985763,389.4,0.8439263113486929,0.9486239345279422,973.2
1,0.81,0.6100000000000001,1.3,0.1,1.0,1.0,0.8358753467560452,0.6051327619508741,0.9245925302605836,0.45444955672764,133.8,0.8549899111708266,0.6569178037044361,389.4,0.825797886995218,0.9599266436073788,973.2
1,0.81,0.6100000000000001,1.3,0.1,1.0,3.0,0.8197038703353858,0.5493272216761391,0.9503824971252192,0.2915048816070025,133.8,0.8561479779436458,0.6379249884648341,389.4,0.8060843963839229,0.9650649676797136,973.2
1,0.81,0.6100000000000001,1.3,0.1,1.0,5.0,0.8151592175068767,0.5355648448405322,0.9490028537854625,0.2541016720906745,133.8,0.8568123329958354,0.6322773713005075,389.4,0.8009299840387332,0.9654756452977836,973.2
1,0.81,0.6100000000000001,1.3,0.1,3.0,0.1,0.8425589489067787,0.6475737076605926,0.8571735025041652,0.6084614521378073,133.8,0.8435411187989903,0.6610243227209808,389.4,0.8414687457490281,0.9473906354529168,973.2
1,0.81,0.6100000000000001,1.3,0.1,3.0,1.0,0.8405556546167119,0.6292311753571056,0.8845818450904603,0.533711143530468,133.8,0.8503801230789321,0.6620605101839036,389.4,0.83499741870387,0.9541727251815444,973.2
1,0.81,0.6100000000000001,1.3,0.1,3.0,3.0,0.833202530889246,0.5948128058925305,0.9320618371927486,0.4409718325664908,133.8,0.8538361225939392,0.6476764880363852,389.4,0.8225159465555771,0.9613657035650446,973.2
1,0.81,0.6100000000000001,1.3,0.1,3.0,5.0,0.8274563666624299,0.5737970778597098,0.9417284878863826,0.366288856469532,133.8,0.8568689271543866,0.6451137037769429,389.4,0.8148901183458138,0.9638318796414908,973.2
1,0.81,0.6100000000000001,1.3,0.1,5.0,0.1,0.8412217819984269,0.6445136988572742,0.8552054254143524,0.6069689148243744,133.8,0.8422586962753051,0.6574253509986157,389.4,0.8401793948376696,0.9469795357612414,973.2
1,0.81,0.6100000000000001,1.3,0.1,5.0,1.0,0.8402872033940415,0.6338127904020006,0.8811604011794445,0.5621030187408821,133.8,0.8454333974498969,0.6584602201568783,389.4,0.8360689220037318,0.9512954494134233,973.2
1,0.81,0.6100000000000001,1.3,0.1,5.0,3.0,0.8354751701705144,0.6085766478974011,0.9065406648688096,0.484333969251487,133.8,0.8506469546631038,0.6512688682354489,389.4,0.8271577722010672,0.9574606785677352,973.2
1,0.81,0.6100000000000001,1.3,0.1,5.0,5.0,0.8326680395659392,0.5929022195804438,0.9349700993871028,0.439479295253058,133.8,0.8534529452290543,0.6456212510711226,389.4,0.8218322285236681,0.9615712534108825,973.2
1,0.81,0.6100000000000001,1.3,1.0,0.1,0.1,0.8723628618041304,0.7599437514808974,0.8266418158850962,0.7309617326899337,133.8,0.8481728752075048,0.7699070595214554,389.4,0.8863652413572278,0.9328003950608948,973.2
1,0.81,0.6100000000000001,1.3,1.0,0.1,1.0,0.8600686607951527,0.6949662096736626,0.9036970332808768,0.5844686342722478,133.8,0.8531469138663368,0.7329378419352712,389.4,0.858874191483871,0.9488309616313988,973.2
1,0.81,0.6100000000000001,1.3,1.0,0.1,3.0,0.8342734782512757,0.6020844465404194,0.9369333527574176,0.3617888003591067,133.8,0.8552377614733718,0.6846641618878123,389.4,0.823912018405324,0.9591057104448444,973.2
