C_svc,C_lgs,alpha_nb,ngram,trained,indexing
0.01,0.11,0.31000000000000005,3,N,142
0.01,0.11,0.31000000000000005,4,N,143
0.01,0.11,0.31000000000000005,5,N,144
0.01,0.11,0.41,1,N,145
0.01,0.11,0.41,2,N,146
0.01,0.11,0.41,3,N,147
0.01,0.11,0.41,4,N,148
0.01,0.11,0.41,5,N,149
0.01,0.11,0.51,1,N,150
0.01,0.11,0.51,2,N,151
0.01,0.11,0.51,3,N,152
0.01,0.11,0.51,4,N,153
0.01,0.11,0.51,5,N,154
0.01,0.11,0.6100000000000001,1,N,155
0.01,0.11,0.6100000000000001,2,N,156
0.01,0.11,0.6100000000000001,3,N,157
0.01,0.11,0.6100000000000001,4,N,158
0.01,0.11,0.6100000000000001,5,N,159
0.01,0.11,0.7100000000000001,1,N,160
0.01,0.11,0.7100000000000001,2,N,161
0.01,0.11,0.7100000000000001,3,N,162
0.01,0.11,0.7100000000000001,4,N,163
0.01,0.11,0.7100000000000001,5,N,164
0.01,0.11,0.81,1,N,165
0.01,0.11,0.81,2,N,166
0.01,0.11,0.81,3,N,167
0.01,0.11,0.81,4,N,168
0.01,0.11,0.81,5,N,169
0.01,0.11,0.91,1,N,170
0.01,0.11,0.91,2,N,171
0.01,0.11,0.91,3,N,172
0.01,0.11,0.91,4,N,173
0.01,0.11,0.91,5,N,174
0.01,0.11,1.01,1,N,175
0.01,0.11,1.01,2,N,176
0.01,0.11,1.01,3,N,177
0.01,0.11,1.01,4,N,178
0.01,0.11,1.01,5,N,179
0.01,0.11,1.11,1,N,180
0.01,0.11,1.11,2,N,181
0.01,0.11,1.11,3,N,182
0.01,0.11,1.11,4,N,183
0.01,0.11,1.11,5,N,184
0.01,0.11,1.3,1,N,185
0.01,0.11,1.3,2,N,186
0.01,0.11,1.3,3,N,187
0.01,0.11,1.3,4,N,188
0.01,0.11,1.3,5,N,189
0.01,0.11,1.6,1,N,190
0.01,0.11,1.6,2,N,191
0.01,0.11,1.6,3,N,192
0.01,0.11,1.6,4,N,193
0.01,0.11,1.6,5,N,194
0.01,0.11,1.9,1,N,195
0.01,0.11,1.9,2,N,196
0.01,0.11,1.9,3,N,197
0.01,0.11,1.9,4,N,198
0.01,0.11,1.9,5,N,199
0.01,0.11,2.2,1,N,200
0.01,0.11,2.2,2,N,201
0.01,0.11,2.2,3,N,202
0.01,0.11,2.2,4,N,203
0.01,0.11,2.2,5,N,204
0.01,0.11,2.5,1,N,205
0.01,0.11,2.5,2,N,206
0.01,0.11,2.5,3,N,207
0.01,0.11,2.5,4,N,208
0.01,0.11,2.5,5,N,209
0.01,0.11,2.8000000000000003,1,N,210
0.01,0.11,2.8000000000000003,2,N,211
0.01,0.11,2.8000000000000003,3,N,212
0.01,0.11,2.8000000000000003,4,N,213
0.01,0.11,2.8000000000000003,5,N,214
0.01,0.11,3.1000000000000005,1,N,215
0.01,0.11,3.1000000000000005,2,N,216
0.01,0.11,3.1000000000000005,3,N,217
0.01,0.11,3.1000000000000005,4,N,218
0.01,0.11,3.1000000000000005,5,N,219
0.01,0.11,3.4000000000000004,1,N,220
0.01,0.11,3.4000000000000004,2,N,221
0.01,0.11,3.4000000000000004,3,N,222
0.01,0.11,3.4000000000000004,4,N,223
0.01,0.11,3.4000000000000004,5,N,224
0.01,0.11,3.7,1,N,225
0.01,0.11,3.7,2,N,226
0.01,0.11,3.7,3,N,227
0.01,0.11,3.7,4,N,228
0.01,0.11,3.7,5,N,229
0.01,0.11,4.0,1,N,230
0.01,0.11,4.0,2,N,231
0.01,0.11,4.0,3,N,232
0.01,0.11,4.0,4,N,233
0.01,0.11,4.0,5,N,234
0.01,0.11,4.300000000000002,1,N,235
0.01,0.11,4.300000000000002,2,N,236
0.01,0.11,4.300000000000002,3,N,237
0.01,0.11,4.300000000000002,4,N,238
0.01,0.11,4.300000000000002,5,N,239
0.01,0.11,4.6000000000000005,1,N,240
0.01,0.11,4.6000000000000005,2,N,241
0.01,0.11,4.6000000000000005,3,N,242
0.01,0.11,4.6000000000000005,4,N,243
0.01,0.11,4.6000000000000005,5,N,244
0.01,0.11,4.9,1,N,245
0.01,0.11,4.9,2,N,246
0.01,0.11,4.9,3,N,247
0.01,0.11,4.9,4,N,248
0.01,0.11,4.9,5,N,249
0.01,0.21,0.01,1,N,250
0.01,0.21,0.01,2,N,251
0.01,0.21,0.01,3,N,252
0.01,0.21,0.01,4,N,253
0.01,0.21,0.01,5,N,254
0.01,0.21,0.11,1,N,255
0.01,0.21,0.11,2,N,256
0.01,0.21,0.11,3,N,257
0.01,0.21,0.11,4,N,258
0.01,0.21,0.11,5,N,259
0.01,0.21,0.21,1,N,260
0.01,0.21,0.21,2,N,261
0.01,0.21,0.21,3,N,262
0.01,0.21,0.21,4,N,263
